CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Atlantic HD	SkyAtlanticHD.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Cinema	SkyCinema.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Cinema +24	SkyCinemaPlus24.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Action	SkyAction.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Nostalgie	SkyNostalgie.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Krimi	SkyKrimi.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Emotion	SkyEmotion.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Comedy	SkyComedy.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Cinema Hits	SkyCinemaHits.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Sport Austria	SkySportAustria.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Fußball Bundesliga 1	SkyBundesliga1.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	DAZN	DAZN1BarHD.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Sport 1	SkySport1.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Sport 2	SkySport2.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTS4D	MYSPORTS4D.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTS2D	MYSPORTS2D.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTS8D	MYSPORTS8D.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTS1D	MYSPORTS1D.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTS6D	MYSPORTS6D.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTS5D	MYSPORTS5D.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTS3D	MYSPORTS3D.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTS7D	MYSPORTS7D.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	MYSPORTSD	MYSPORTSD.ch
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 1	SkySelect1.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 2	SkySelect2.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 3	SkySelect3.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 4	SkySelect4.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 5	SkySelect5.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 6	SkySelect6.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 7	SkySelect7.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 8	SkySelect8.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Select 9	SkySelect9.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Bundesliga 2	SkyBundesliga2.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Bundesliga 3	SkyBundesliga3.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Bundesliga 4	SkyBundesliga4.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Bundesliga 5	SkyBundesliga5.de
CHANNEL	http://rytec.ricx.nl/epg_data/rytecDE_SportMovies.gz	rytecDE_SportMovies.gz	Sky Bundesliga 6	SkyBundesliga6.de
